Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,PCA1,PCA2,Cluster
164,164,dinner roll,76,1.8,0.4,0.9,0.3,12.9,0.5,2.4,1.1,0.0,0.1,10.4,0.0,0.1,0.059,0.0,0.071,1.1,0.1,0.072,0.0,0.0,0.1,0.074,49.3,0.032,1.0,10.1,0.3,29.1,32.2,0.097,0.3,68.5,-0.6902534352711589,0.0711953947338096,1
165,165,hotdog roll,117,1.6,0.4,0.3,0.7,21.1,3.1,4.1,0.8,0.0,0.2,14.4,0.004,0.007,0.2,0.095,0.03,0.1,1.8,0.0,0.048,0.5,0.0,0.1,0.008,60.5,0.095,1.4,9.7,0.2,42.4,51.2,0.087,27.796,-0.436388209155329,0.0032797219949573225,1
166,166,bagel,245,1.5,0.0,0.3,0.9,47.9,6.0,10.0,4.0,0.0,0.4,36.8,0.0,0.0,0.4,0.068,0.0,0.2,3.3,0.4,0.1,0.0,0.0,0.3,0.019,19.6,0.2,2.7,50.0,1.4,139.2,161.7,0.099,63.783,1.0188216598958404,-0.5458694753547139,1
167,167,oat bran bagel,176,0.8,0.1,0.2,0.3,36.8,1.1,7.4,2.5,0.0,0.4,22.7,0.031,0.2,0.053,0.0,0.2,2.0,0.3,0.005,0.1,0.0,0.2,0.014,8.3,0.1,2.1,21.4,0.6,75.9,79.4,0.087,0.6,58.051,0.4001349811156315,-0.36109802507799055,1
168,168,pain au chocolat de la boulangerie,235,12.0,27.6,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-0.4259031064732914,2.034682312659953,1
169,169,egg bagel,72,0.5,0.1,0.1,0.2,13.8,0.0,2.8,0.6,6.2,0.1,8.5,0.012,0.1,0.016,0.064,0.064,0.9,0.2,0.053,0.2,0.0,0.0,0.0,3.4,0.09,1.0,6.5,0.1,21.8,17.7,0.088,0.2,22.349,-0.8020104985977042,0.04207259546401813,1
170,170,english muffin toasted,140,1.1,0.3,0.2,0.5,27.4,1.8,5.4,1.5,0.0,0.2,17.1,0.0,0.3,0.041,0.074,0.1,2.6,0.2,0.051,0.9,0.0,0.2,0.002,102.4,0.051,2.4,14.6,0.3,55.6,67.1,0.057,0.7,141.1,-0.06462508726422063,-0.16963192119362727,1
171,171,english muffin whole wheat toasted,135,1.4,0.2,0.3,0.6,26.9,5.4,5.9,4.5,0.0,0.2,25.0,0.0,0.2,0.089,0.0,0.045,2.0,0.3,0.024,0.0,0.0,0.3,0.047,175.7,0.1,1.6,47.0,1.2,187.3,139.1,0.099,1.1,216.0,0.6336152729603265,-0.7110095228410905,1
172,172,biscuit,357,16.5,4.4,7.0,4.2,45.0,2.2,7.1,1.5,3.0,0.6,29.2,0.0,0.4,0.006,0.011,0.3,3.0,0.3,0.06,0.2,0.0,0.0,0.0,237.4,0.048,2.9,18.2,0.4,165.6,122.2,0.003,0.5,310.6,1.2974195437281337,0.8877948341410061,1
173,173,french roll,105,1.6,0.4,0.7,0.3,19.1,0.1,3.3,1.2,0.0,0.2,13.2,0.0,0.2,0.07,0.0,0.1,1.7,0.2,0.087,0.0,0.0,0.1,0.088,34.6,0.048,1.0,7.6,0.2,31.9,43.3,0.067,0.3,60.8,-0.5042926883922414,0.03857379677023716,1
174,174,oat bran dinner roll,78,1.5,0.2,0.5,0.5,13.3,2.2,3.1,1.4,0.0,0.1,14.5,0.0,0.1,0.076,0.0,0.082,1.6,0.1,0.021,0.0,0.0,0.2,0.045,28.1,0.004,1.4,10.9,0.2,38.0,39.9,0.067,0.3,48.8,-0.5772047023835453,-0.050799463613542165,1
175,175,pecan shortbread cookies,76,4.6,1.1,2.6,0.6,8.2,0.0,0.7,0.3,4.6,0.002,0.5,0.078,0.034,0.016,0.0,0.1,0.3,0.077,0.065,0.0,0.0,0.0,0.0,4.2,0.084,0.3,2.5,0.052,11.9,10.2,0.002,0.1,18.349,-0.9331523054746803,0.46719358713689363,1
176,176,oatmeal cookies,113,4.5,1.1,2.5,0.6,17.2,6.2,1.6,0.7,0.0,0.1,1.4,0.001,0.003,0.051,0.0,0.044,0.6,0.076,0.059,0.1,0.0,0.046,0.07,9.3,0.029,0.6,8.3,0.2,34.5,35.5,0.044,0.2,34.069,-0.4468810615444958,0.21201082011169267,1
177,177,chocolate wafers,485,15.9,4.7,5.4,4.7,81.1,33.2,7.4,3.8,2.2,0.8,5.0,0.089,0.2,0.038,0.037,0.3,3.2,0.4,0.071,0.0,0.0,0.8,0.039,34.7,0.5,4.5,59.4,0.8,147.8,235.2,0.048,1.2,147.442,3.3409900808626114,-0.42322312903985765,1
178,178,vanilla wafers low fat,353,12.2,3.1,5.2,3.1,58.9,30.0,4.0,1.5,40.8,0.3,4.1,0.037,0.2,0.045,0.028,0.3,2.5,0.3,0.027,0.0,0.0,0.2,0.082,38.4,0.036,1.9,11.2,0.2,83.2,77.6,0.001,0.3,116.995,1.6458617921059582,0.03892954255700724,1
179,179,chocolate chip cookies mcdonalds,136,6.4,3.2,1.7,0.4,18.7,9.6,1.6,0.6,18.4,0.058,1.2,0.003,0.063,0.046,0.082,0.051,0.6,0.2,0.03,0.0,0.0,0.2,0.0,9.6,0.012,1.1,11.3,0.2,29.7,54.9,0.0,0.2,38.09,-0.29245572425010063,0.1518087265607845,1
180,180,gingersnap cookies,29,0.7,0.2,0.4,0.062,5.4,1.4,0.4,0.2,0.0,0.012,0.4,0.0,0.026,0.0,0.0,0.007,0.2,0.016,0.09,0.0,0.0,0.07,0.063,5.4,0.021,0.4,3.4,0.1,5.8,24.2,0.079,0.06,12.5,-1.172434968273697,0.13331575801359113,1
181,181,biscotti abbracci mulino bianco,54,2.6,1.6,6.8,2.6,0.8,0.051,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,-0.9008875878848157,1.014560702349664,1
182,182,chocolate chip cookie,63,2.8,1.4,1.0,0.3,9.3,5.3,0.5,0.3,0.0,0.047,1.4,0.013,0.0,0.093,0.095,0.0,0.068,0.3,0.068,0.052,0.0,0.0,0.2,0.036,2.4,0.049,0.6,4.1,0.026,8.7,18.5,0.034,13.122,-0.9386132343016927,0.19699119676658602,1
183,183,brownie,243,9.8,2.5,5.4,0.4,38.3,22.0,2.9,1.3,10.2,0.2,8.2,0.02,0.2,0.046,0.098,0.1,1.0,0.3,0.092,0.0,0.0,0.098,0.048,17.4,0.0,1.4,18.6,0.1,60.6,89.4,0.053,0.4,71.166,0.8324781612159758,0.030883524886446995,1
184,184,shortbread cookies,40,1.9,0.5,1.1,0.3,5.2,1.2,0.5,0.1,1.6,0.097,0.3,0.018,0.023,0.05,0.053,0.023,0.3,0.011,0.027,0.0,0.01,0.063,0.042,2.8,0.073,0.2,1.4,0.013,8.6,8.0,0.033,0.005,10.729,-1.149516339320441,0.2658635345886563,1
185,185,oatmeal cookies with raisins,65,2.4,0.5,1.0,0.8,10.3,0.0,1.0,0.0,5.0,0.022,1.0,0.096,0.015,0.069,0.037,0.088,0.2,0.053,0.006,0.078,0.0,0.0,0.0,15.0,0.031,0.4,6.3,0.1,24.2,35.9,0.016,0.1,29.198,-0.9467334953320022,0.27065087028838175,1
186,186,peanut butter sandwich cookies,67,3.0,0.7,1.6,0.5,9.2,5.0,1.2,0.3,0.0,0.098,0.4,0.039,0.017,0.038,0.033,0.033,0.5,0.1,0.068,0.093,0.0,0.3,0.1,7.4,0.012,0.4,6.9,0.1,26.3,26.9,0.06,0.1,21.624,-0.8103116277572574,0.1807437405385046,1
187,187,sugar cookies,72,3.2,0.8,1.8,0.4,10.2,5.7,0.8,0.1,7.7,0.007,0.7,0.039,0.035,0.028,0.019,0.03,0.4,0.042,0.052,0.091,0.097,0.073,0.058,3.2,0.034,0.3,1.8,0.073,12.0,9.5,0.052,0.024,17.981,-0.8634532553346127,0.24422688552827046,1
188,188,chocolate covered graham crackers,68,3.2,1.8,1.1,0.1,9.3,5.8,0.8,0.4,0.0,0.067,0.4,0.016,0.017,0.019,0.0,0.097,0.3,0.004,0.095,0.0,0.0,0.062,0.071,8.1,0.019,0.5,8.1,0.1,18.8,29.3,0.033,0.1,22.313,-0.8132330799962763,0.14083954324688097,1
189,189,raisin cookies,60,2.0,0.5,1.1,0.3,10.2,7.1,0.6,0.2,0.3,0.077,2.0,0.008,0.031,0.074,0.0,0.082,0.3,0.046,0.044,0.1,0.0,0.3,0.086,6.9,0.04,0.3,3.2,0.001,12.5,21.0,0.039,0.034,20.215,-0.8765775926702354,0.10108482575052641,1
190,190,vanilla wafers,28,1.2,0.3,0.7,0.1,4.3,0.0,0.3,0.1,0.0,0.045,0.3,0.0,0.071,0.067,0.0,0.057,0.2,0.013,0.09,0.0,0.0,0.0,0.0,1.5,0.028,0.1,0.7,0.038,3.8,6.4,0.036,0.06,7.5,-1.2558001412979716,0.23772865946469113,1
191,191,graham crackers,355,8.5,1.3,3.4,3.2,64.5,26.1,5.8,2.4,0.0,0.4,3.7,0.0,0.2,0.013,0.0,0.3,3.5,0.5,0.047,0.0,0.0,0.3,0.084,20.2,0.2,3.1,25.2,0.7,87.4,113.4,0.098,0.7,104.5,1.8955407299886522,-0.3418219047006212,1
192,192,peanut butter cookies,95,4.8,0.9,2.2,1.4,11.8,0.0,1.8,0.0,6.2,0.1,1.2,0.066,0.044,0.092,0.023,0.06,0.7,0.025,0.079,0.032,0.0,0.0,0.0,7.8,0.075,0.4,7.8,0.1,23.2,46.2,0.062,0.2,26.738,-0.720387606163871,0.4213026388036399,1
193,193,vanilla sandwich cookie,72,3.0,0.4,1.3,1.1,10.8,5.9,0.7,0.2,0.0,0.044,0.3,0.0,0.096,0.036,0.0,0.08,0.4,0.036,0.085,0.0,0.0,0.2,0.085,4.1,0.053,0.3,2.1,0.08,11.3,13.7,0.064,0.051,19.1,-0.8374347564370832,0.2081585849258813,1
194,194,sugar wafers with creme filling,51,2.3,1.2,0.8,0.3,7.1,4.3,0.4,0.2,0.0,0.06,0.2,0.0,0.016,0.069,0.0,0.031,0.2,0.03,0.051,0.0,0.0,0.3,0.059,2.7,0.019,0.4,1.6,0.052,7.3,11.8,0.085,0.074,13.1,-1.0312941182235968,0.1951893796923743,1
195,195,cheese puffs,197,12.8,1.9,3.8,6.9,18.6,1.1,2.1,0.6,2.5,0.3,0.6,0.012,0.01,0.039,0.035,0.065,1.6,0.3,0.092,0.0,0.0,1.5,0.043,20.0,0.038,0.7,6.3,0.033,44.8,66.2,0.031,0.2,54.854,-0.010349358019305949,0.9335992631839292,1
196,196,saltine crackers,13,0.3,0.097,0.098,0.1,2.2,0.063,0.3,0.022,0.0,0.067,0.1,0.037,0.0,0.075,0.097,0.033,0.094,0.2,0.017,0.062,0.0,0.0,0.071,0.059,0.6,0.025,0.2,0.8,0.088,3.3,4.8,0.039,3.081,-1.3581437214155345,0.17930677037983328,1
197,197,trail mix,139,8.8,1.7,3.8,2.9,13.5,0.0,4.1,0.0,0.0,0.014,2.8,0.0,0.1,0.002,0.0,0.027,1.4,0.3,0.077,0.4,0.0,0.0,0.0,23.4,0.3,0.9,47.4,0.3,103.5,205.5,0.0,1.0,51.1,0.11382225068886592,0.37133843046757936,1
198,198,corn cones,144,7.6,6.4,0.5,0.2,17.8,0.0,1.6,0.3,0.0,0.3,0.6,0.0,0.097,0.079,0.0,0.032,0.4,0.011,0.095,0.0,0.0,0.0,0.0,0.8,0.052,0.7,3.1,0.013,12.5,22.9,0.05,0.032,28.8,-0.6118895741678261,0.49579378457353546,1
199,199,chocolate pretzels,50,1.8,0.8,0.6,0.2,7.8,0.0,0.8,0.0,0.0,0.037,0.3,0.0,0.068,0.094,0.0,0.078,0.003,0.033,0.052,0.076,0.0,0.0,0.0,8.1,0.081,0.2,4.5,0.071,16.0,24.8,0.0,0.1,18.726,-1.0867778408693933,0.23073446342538773,1
200,200,french toast sticks,73,3.8,0.9,2.1,0.6,8.9,2.1,1.3,0.3,0.0,0.001,7.3,0.0,0.079,0.041,0.0,0.075,0.6,0.027,0.085,0.0,0.0,0.2,0.04,11.4,0.036,0.4,4.1,0.029,18.8,24.0,0.066,0.1,26.1,-0.8520794424857843,0.32633105968981807,1
201,201,crackers,82,4.2,0.9,1.0,2.1,9.8,1.3,1.1,0.4,0.0,0.1,0.5,0.2,0.0,0.081,0.079,0.0,0.052,0.7,0.067,0.087,0.0,0.0,0.5,0.036,19.2,0.011,0.6,2.9,0.076,39.7,18.9,0.053,15.764,-0.8360528990240986,0.35103974473615823,1
202,202,sesame sticks,54,3.7,0.6,1.1,1.7,4.7,0.084,1.1,0.3,0.0,0.09,0.2,0.0,0.025,0.006,0.0,0.045,0.2,0.033,0.018,0.0,0.0,0.4,0.043,17.0,0.08,0.055,4.5,0.068,13.8,17.7,0.021,0.1,26.81,-1.0072209972059651,0.3454079019707902,1
203,203,cheese crackers,34,1.6,0.4,0.4,0.7,4.2,0.3,0.8,0.2,0.2,0.065,0.2,0.05,0.056,0.039,0.095,0.028,0.03,0.4,0.065,0.009,0.0,0.0,0.2,0.026,9.5,0.032,0.3,1.8,0.075,14.0,10.9,0.031,7.053,-1.1854050668519773,0.2288690370534024,1
204,204,oriental rice cracker mix,143,7.2,1.1,2.8,3.0,14.6,0.8,4.9,3.7,0.0,0.1,0.7,0.0,0.033,0.038,0.0,0.083,0.9,0.1,0.026,0.037,0.0,1.6,0.068,15.3,0.069,0.7,33.4,0.4,74.1,92.8,0.067,0.8,46.416,0.298544370552886,0.06080073505843912,1
205,205,breadsticks,103,2.4,0.4,0.9,0.9,17.1,0.3,3.0,0.8,0.0,0.2,1.5,0.0,0.1,0.022,0.0,0.1,1.3,0.1,0.015,0.0,0.0,0.3,0.038,5.5,0.058,1.1,8.0,0.1,30.3,31.0,0.092,0.2,29.9,-0.5650733530067734,0.14241219417618672,1
206,206,milk crackers,50,1.7,0.3,0.7,0.6,7.7,1.8,0.8,0.2,1.2,0.095,0.5,0.073,0.078,0.056,0.09,0.09,0.5,0.032,0.055,0.017,0.0,0.1,0.016,18.9,0.01,0.4,2.4,0.054,33.3,12.5,0.097,0.022,29.845,-1.0481380445768729,0.2020578334184365,1
207,207,matzo crackers whole wheat,98,0.4,0.005,0.019,0.2,22.1,0.0,3.7,3.3,0.0,0.002,1.3,0.0,0.1,0.088,0.0,0.013,1.5,0.3,0.078,0.0,0.0,0.0,0.0,6.4,0.079,1.3,37.5,1.0,85.4,88.5,0.04,0.7,37.2,-0.006637895130879789,-0.4278003888962556,1
208,208,matzo crackers with egg,109,0.6,0.2,0.2,0.1,22.0,0.0,3.4,0.8,23.2,0.057,1.8,0.077,0.2,0.041,0.006,0.2,1.4,0.1,0.039,0.07,0.0,0.0,0.0,11.2,0.069,0.8,6.7,0.2,41.4,42.0,0.048,0.2,38.972,-0.5258762694662317,0.0016808117502000533,1
209,209,granola bites,23,0.9,0.5,0.2,0.1,3.3,1.5,0.4,0.3,0.0,0.067,0.4,0.0,0.044,0.013,0.02,0.03,0.023,0.1,0.041,0.086,0.044,0.0,0.1,0.015,2.1,0.074,0.024,3.5,0.017,10.8,14.3,0.016,5.042,-1.2464290415636186,0.15021863488221548,1
210,210,crackers whole wheat,120,4.0,0.6,0.9,1.9,19.5,0.3,3.0,2.9,0.0,0.2,0.8,0.0,0.074,0.068,0.0,0.011,1.3,0.2,0.074,0.0,0.0,0.4,0.075,10.1,0.1,0.9,30.8,0.6,92.7,96.6,0.073,0.7,40.4,-0.009229828197560845,-0.10742675546332353,1
211,211,tropical trail mix,619,23.9,11.9,3.5,7.2,91.8,0.0,8.8,0.0,0.0,0.1,12.6,0.0,0.6,0.099,0.0,0.2,2.1,1.7,0.5,10.6,0.0,0.0,0.0,79.8,0.7,3.7,134.4,1.4,260.4,992.6,0.0,1.6,218.6,4.212865782558907,0.18776325233913044,0
212,212,soft pretzels,389,3.6,0.8,1.2,1.1,79.8,0.3,9.4,2.0,3.5,0.9,17.3,0.0,0.5,0.079,0.0,0.3,4.9,0.0,0.002,0.0,0.0,0.6,0.071,26.5,0.1,4.5,24.2,0.0,90.9,101.2,0.03,1.1,125.8,1.6565880606523429,-0.18418328050060212,1
213,213,corn tostada shell,58,2.9,0.9,0.9,1.0,7.9,0.0,0.8,0.7,0.0,0.084,0.4,0.0,0.08,0.0,0.0,0.027,0.2,0.085,0.031,0.0,0.0,0.0,0.0,9.3,0.042,0.2,9.3,0.031,25.0,29.2,0.028,0.2,21.8,-0.9134184582813879,0.2331361072493211,1
214,214,matzo crackers,111,0.4,0.03,0.045,0.2,23.4,0.098,2.8,0.8,0.0,0.0,1.2,0.0,0.1,0.077,0.0,0.013,1.1,0.1,0.078,0.0,0.0,0.026,0.047,3.6,0.01,0.9,7.0,0.2,24.9,31.4,0.022,0.2,31.9,-0.5430003184087043,0.0013121868916291164,1
215,215,sesame crunch,9,0.6,0.096,0.2,0.3,0.9,0.6,0.2,0.1,0.0,0.027,0.073,0.0,0.061,0.051,0.0,0.015,0.025,0.049,0.013,0.0,0.0,0.002,0.0,11.5,0.096,0.019,4.5,0.055,7.4,5.5,0.033,0.013,13.351,-1.3248320701985892,0.16346008527187553,1
216,216,trail mix with chocolate chips,707,46.6,8.9,19.8,16.5,65.6,0.0,20.7,0.0,5.8,0.2,9.6,0.0,0.6,0.01,0.0,0.3,6.4,1.4,0.4,1.9,0.0,0.0,0.0,159.1,1.2,4.9,235.1,1.6,565.0,946.1,0.0,4.6,298.8,6.416533041285234,1.4560866586255086,0
217,217,cracker meal,440,2.0,0.3,0.2,0.8,93.0,0.4,10.7,3.0,0.0,0.078,8.7,0.0,0.8,0.2,0.0,0.5,6.6,0.5,0.017,0.0,0.0,0.5,0.053,26.5,0.3,5.3,27.6,1.1,119.6,132.3,0.086,0.8,140.5,2.124970647820469,-0.47186596877208853,1
218,218,puffed rice,153,0.2,0.037,0.0,0.0,34.1,0.0,2.4,0.6,0.0,0.053,1.1,0.0,1.0,0.093,0.0,0.7,13.4,0.1,0.055,0.0,0.0,0.0,0.0,2.3,0.02,12.0,9.5,0.6,37.2,42.9,0.094,0.4,51.6,-0.3179922966908609,-0.008835391776680268,1
219,219,filinchen gutena,19,0.2,0.056,3.6,0.031,0.5,0.028,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,-1.2340181773488157,0.48759368316429813,1
220,220,melba toast crackers,117,1.0,0.1,0.2,0.4,23.0,0.3,3.6,1.9,0.0,0.2,1.5,0.0,0.1,0.055,0.0,0.071,1.2,0.2,0.087,0.0,0.0,0.1,0.029,27.9,0.046,1.1,17.7,0.3,58.8,60.6,0.042,0.6,58.5,-0.25689071794886237,-0.14803966047340797,1
221,221,matzo crackers with egg onion,109,1.1,0.3,0.3,0.3,21.6,0.0,2.8,1.4,12.6,0.052,2.0,0.062,0.2,0.069,0.018,0.1,1.4,0.2,0.036,0.026,0.0,0.0,0.0,10.1,0.013,1.2,8.4,0.2,24.9,23.2,0.066,0.2,38.316,-0.4966759466968294,-0.0005068133185793692,1
222,222,cornnuts,126,4.4,0.7,2.7,0.9,20.3,0.2,2.4,2.0,0.0,0.2,0.4,0.0,0.024,0.0,0.0,0.015,0.5,0.1,0.094,0.0,0.0,0.6,0.097,2.5,0.001,0.5,32.0,0.1,77.8,78.7,0.064,0.5,32.1,-0.07833609096421834,0.09258090689608153,1
223,223,bagel chips,789,26.5,12.0,10.6,3.6,116.1,10.5,21.6,7.2,0.0,0.4,8.8,0.0,0.9,0.2,0.0,0.6,13.4,0.8,0.2,0.0,0.0,1.4,0.031,42.0,0.3,8.8,68.3,1.2,229.3,245.0,0.03,1.8,222.2,5.501832669424547,0.27133301154936734,0
224,224,pretzels,115,0.9,0.1,0.2,0.4,24.1,0.7,3.0,1.0,0.0,0.4,0.9,0.037,0.0,0.1,0.084,0.0,0.026,1.6,0.1,0.084,0.6,0.0,0.1,0.01,8.1,0.08,1.4,8.7,0.3,38.4,66.9,0.01,29.214,-0.5064306222632112,0.013710248195276501,1
225,225,potato raw,164,0.2,0.028,0.063,0.071,37.2,1.7,4.3,4.7,0.0,0.072,169.0,0.0,0.2,0.002,0.0,0.02,2.2,0.6,0.6,42.0,0.0,0.059,0.043,25.6,0.2,1.7,49.0,0.3,121.4,896.7,0.079,0.6,115.7,1.3391939654500982,-1.1644304152264815,1
226,226,gatto di patate home made,202,9.4,4.6,21.0,9.4,4.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.3898152399071127,2.84301193936204,1
227,227,baked potato,161,0.2,0.074,0.086,0.1,36.6,2.0,4.3,3.8,0.0,0.097,129.6,0.0,0.0,0.1,0.001,0.0,0.056,2.4,0.7,0.5,16.6,0.0,0.034,0.057,26.0,0.2,1.9,48.4,0.4,121.1,925.6,0.028,45.667,0.18076746755537643,-0.45898602404546346,1
228,228,potato sticks,188,12.4,3.2,2.2,6.4,19.2,0.006,2.4,1.2,0.0,0.2,0.8,0.0,0.041,0.043,0.0,0.062,1.7,0.1,0.1,17.0,0.0,3.3,0.089,6.5,0.1,0.8,23.0,0.2,61.9,445.3,0.042,0.4,59.5,0.42665796127861433,0.45521678955181555,1
229,229,potato cooked,52,0.006,0.003,0.027,0.071,12.1,0.5,1.1,1.2,0.0,0.035,46.2,0.0,0.026,0.082,0.0,0.029,0.9,0.3,0.2,7.8,0.0,0.043,0.042,3.0,0.1,0.2,13.2,0.044,26.4,227.4,0.022,0.2,25.487,-0.6705890490368981,-0.17202139040890432,1
230,230,vivaldi potatoes sainsburys,23,0.1,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-1.313425572822548,0.4554167493365131,1
231,231,potato ham chowder soup,192,12.5,3.9,5.9,0.8,13.4,0.0,6.5,1.4,21.6,0.9,204.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,35.5,-0.04527843924032549,0.7782152021205456,1
232,232,russet potato raw,292,0.3,0.06,0.061,0.2,66.7,2.3,7.9,4.8,0.0,0.068,290.0,0.0,0.3,0.056,0.0,0.1,3.8,1.1,1.3,21.0,0.0,0.097,0.083,48.0,0.4,3.2,84.9,0.6,203.0,1538.7,0.055,1.1,151.9,3.114675119803647,-1.8578018277759016,1
233,233,russet potato baked,290,0.4,0.1,0.056,0.2,64.1,3.2,7.9,6.9,0.0,0.084,222.6,0.0,0.2,0.061,0.0,0.1,4.0,1.1,1.1,24.8,0.0,0.2,0.084,53.8,0.3,3.2,89.7,0.7,212.3,1644.5,0.01,1.0,161.1,3.418346638847498,-2.125440075915846,0
234,234,french fries,13,0.4,0.01,0.3,0.067,2.2,0.088,0.2,0.2,0.0,0.056,5.9,0.0,0.043,0.019,0.0,0.042,0.2,0.076,0.085,1.5,0.0,0.061,0.086,0.8,0.028,0.076,1.9,0.022,7.4,36.3,0.0,0.018,5.362,-1.2985283939992947,0.14917807114669568,1
235,235,potato scalloped,216,9.0,5.5,2.5,0.4,26.4,0.0,7.0,4.7,29.4,0.8,198.3,0.0,0.2,0.018,0.0,0.2,2.6,1.3,0.4,26.0,0.0,0.0,0.0,139.7,0.4,1.4,46.6,0.4,154.4,926.1,0.064,1.0,214.2,1.585197888040297,-0.6063584840237766,1
236,236,cottage fries,11,0.4,0.084,0.2,0.055,1.9,0.019,0.2,0.2,0.0,0.058,4.4,0.0,0.026,0.063,0.0,0.086,0.1,0.003,0.016,0.8,0.0,0.043,0.076,0.9,0.053,0.025,1.9,0.086,6.7,32.5,0.06,0.027,4.413,-1.315181433688573,0.14609987435127667,1
237,237,mashed potatoes,215,6.8,1.4,1.7,3.2,35.5,1.2,4.0,3.1,0.0,0.7,192.7,0.079,0.023,0.013,0.049,0.005,2.6,0.0,0.3,0.0,0.0,1.0,0.078,43.6,0.06,0.8,36.3,0.2,142.8,692.1,0.055,0.5,93.836,1.1688026584238136,-0.3598324387459724,1
238,238,mashed potato with milk and butter,237,8.9,5.5,2.2,0.4,35.3,3.0,3.9,3.2,23.1,0.7,158.8,0.026,0.2,0.023,0.05,0.069,2.3,1.0,0.5,12.6,0.08,0.3,0.033,50.4,0.3,0.5,37.8,0.2,94.5,596.4,0.074,0.6,114.854,1.1414548985857649,-0.26432024504300466,1
239,239,red potato raw,149,0.3,0.074,0.001,0.1,33.9,2.7,4.0,3.6,0.0,0.02,172.4,0.0,0.2,0.026,0.0,0.06,2.4,0.6,0.4,18.3,0.0,0.003,0.051,21.3,0.3,1.6,46.9,0.3,129.9,969.2,0.022,0.7,83.0,1.2004250472346547,-1.126191947218478,1
240,240,potato pancake,59,3.2,0.5,0.8,1.7,6.1,0.4,1.3,0.7,20.9,0.2,10.5,0.098,0.085,0.096,0.004,0.098,0.4,0.2,0.052,6.1,0.091,0.055,0.024,7.0,0.043,0.4,7.9,0.006,28.2,136.8,0.072,0.2,24.864,-0.8045689038533812,0.17697647371075573,1
241,241,potato puffs,243,11.0,2.3,7.7,0.6,35.5,0.3,2.6,3.2,0.0,0.6,76.4,0.0,0.2,0.019,0.0,0.049,1.9,0.4,0.2,8.1,0.0,0.3,0.001,17.9,0.01,0.8,21.8,0.2,131.8,399.4,0.018,0.4,79.1,0.9213196020663864,0.37927405585157487,1
242,242,red potato baked,74,0.1,0.008,0.078,0.004,16.7,1.2,2.0,1.5,0.0,0.037,65.2,0.0,0.0,0.097,0.034,0.0,0.046,1.4,0.3,0.2,10.7,0.0,0.066,0.075,7.7,0.1,0.6,23.8,0.1,61.2,463.3,0.0,20.689,-0.7222150626610484,-0.12242828510445128,1
243,243,potatoes canned,132,0.3,0.098,0.021,0.1,29.7,0.0,3.6,4.2,0.0,0.7,263.5,0.0,0.1,0.011,0.0,0.015,2.7,0.5,0.4,22.8,0.0,0.0,0.0,117.0,0.2,2.2,42.0,0.2,66.0,615.0,0.049,1.2,179.8,0.7427872826653159,-0.8516829016830927,1
244,244,potato skin raw,22,0.099,0.093,0.008,0.07,4.7,0.0,1.0,1.0,0.0,0.053,31.7,0.0,0.055,0.031,0.0,0.024,0.4,0.1,0.038,4.3,0.0,0.0,0.0,11.4,0.2,1.2,8.7,0.2,14.4,156.9,0.096,0.1,23.697,-0.974925587964474,-0.07011511217936316,1
245,245,shoestring french fries,4,0.1,0.059,0.083,0.06,0.7,0.062,0.099,0.099,0.0,0.055,1.2,0.0,0.008,0.004,0.0,0.092,0.075,0.003,0.048,0.3,0.0,0.022,0.048,0.3,0.057,0.052,0.5,0.057,2.4,10.6,0.038,0.053,1.604,-1.3968908500418489,0.1635411257976748,1
